,product,cost,everlane_price,sale,retail_price,url,everlane_markup,retail_markup,retail_to_everlane
0,The Slim Fit Jean,31.0,68.0,False,155.0,https://www.everlane.com/products/mens-slim-fit-jeans-post?collection=mens-jeans,2.193548387096774,5.0,2.2794117647058822
1,The Skinny Fit Jean,32.0,68.0,False,160.0,https://www.everlane.com/products/mens-skinny-fit-jean-black?collection=mens-jeans,2.125,5.0,2.3529411764705883
2,The Air Chino Drawstring Pant,24.75,58.0,False,125.0,https://www.everlane.com/products/mens-air-chino-drawstring-pant-fatigue?collection=mens-bottoms,2.3434343434343434,5.05050505050505,2.1551724137931036
3,The Classic French Terry Sweatpant,24.0,55.0,False,120.0,https://www.everlane.com/products/mens-french-terry-sweatpant-heathergrey?collection=mens-bottoms,2.2916666666666665,5.0,2.1818181818181817
4,The Cotton Pocket ,8.63,18.0,False,45.0,https://www.everlane.com/products/mens-cotton-pocket-muted-blue?collection=mens-tees,2.0857473928157586,5.214368482039397,2.5
5,The Cotton Pocket ,8.17,20.0,False,45.0,https://www.everlane.com/products/mens-cotton-heather-pocket-charcoal?collection=mens-tees,2.4479804161566707,5.507955936352509,2.25
6,The Cotton Long-Sleeve Pocket,9.04,24.0,False,50.0,https://www.everlane.com/products/mens-ctn-ls-pocket-skyblue?collection=mens-tees,2.6548672566371683,5.5309734513274345,2.0833333333333335
7,The Cotton V-Neck,9.0,20.0,False,40.0,https://www.everlane.com/products/mens-v-inkgrey?collection=mens-tees,2.2222222222222223,4.444444444444445,2.0
8,The Heavyweight Crew,10.88,30.0,False,65.0,https://www.everlane.com/products/mens-heavyweight-tee-fadedpink?collection=mens-tees,2.7573529411764706,5.974264705882352,2.1666666666666665
9,The Heavyweight Crew,13.0,30.0,False,65.0,https://www.everlane.com/products/mens-heavyweight-tee-midheathergrey?collection=mens-tees,2.3076923076923075,5.0,2.1666666666666665
10,The Heavyweight Crew,13.0,30.0,False,65.0,https://www.everlane.com/products/mens-heavyweight-tee-heathernavy?collection=mens-tees,2.3076923076923075,5.0,2.1666666666666665
11,The Heavyweight Pocket,12.0,28.0,False,65.0,https://www.everlane.com/products/mens-heavyweight-pocket-tee-black?collection=mens-tees,2.3333333333333335,5.416666666666667,2.3214285714285716
12,The Heavyweight Pocket,12.0,28.0,False,65.0,https://www.everlane.com/products/mens-heavyweight-pocket-tee-goldenbrown?collection=mens-tees,2.3333333333333335,5.416666666666667,2.3214285714285716
13,The Heavyweight Relaxed Crew,12.0,30.0,False,60.0,https://www.everlane.com/products/mens-hvywt-ovrszd-crew-black?collection=mens-tees,2.5,5.0,2.0
14,The Heavyweight Long-Sleeve Crew,12.0,32.0,False,60.0,https://www.everlane.com/products/mens-hvyweight-ls-crew-white?collection=mens-tees,2.6666666666666665,5.0,1.875
15,The Waffle-Knit Henley,18.0,40.0,False,90.0,https://www.everlane.com/products/mens-waffle-knit-henley-offwhite?collection=mens-tees,2.2222222222222223,5.0,2.25
16,The Waffle-Knit Henley,18.0,42.0,False,90.0,https://www.everlane.com/products/mens-waffle-knit-henley-greyheather?collection=mens-tees,2.3333333333333335,5.0,2.142857142857143
17,The Air V-Neck Tee,10.0,22.0,False,50.0,https://www.everlane.com/products/mens-air-v-tee-black?collection=mens-tees,2.2,5.0,2.272727272727273
18,The Air V-Neck Tee,10.0,22.0,False,50.0,https://www.everlane.com/products/mens-air-v-tee-white?collection=mens-tees,2.2,5.0,2.272727272727273
19,The Air V-Neck Tee,10.0,22.0,False,50.0,https://www.everlane.com/products/mens-air-v-tee-palesage?collection=mens-tees,2.2,5.0,2.272727272727273
20,The Air Crew Tee,15.0,22.0,False,75.0,https://www.everlane.com/products/mens-air-crew-heathergrey?collection=mens-tees,1.4666666666666666,5.0,3.409090909090909
21,The Air Crew Tee,15.0,22.0,False,75.0,https://www.everlane.com/products/mens-air-crew-trueblack?collection=mens-tees,1.4666666666666666,5.0,3.409090909090909
22,The Air Crew Tee,15.0,22.0,False,75.0,https://www.everlane.com/products/mens-air-crew-navy?collection=mens-tees,1.4666666666666666,5.0,3.409090909090909
23,The Air Crew Tee,15.0,22.0,False,75.0,https://www.everlane.com/products/mens-air-crew-covertgreen?collection=mens-tees,1.4666666666666666,5.0,3.409090909090909
24,The Air Crew Tee,15.0,22.0,False,75.0,https://www.everlane.com/products/mens-air-crew-mutedblue?collection=mens-tees,1.4666666666666666,5.0,3.409090909090909
25,The 100% Human Unisex Crew in Small Print,9.0,22.0,False,45.0,https://www.everlane.com/products/unisex-human-crew-sprint-black?collection=mens-tees,2.4444444444444446,5.0,2.0454545454545454
26,The 100% Human Unisex Crew in Small Print,9.0,22.0,False,45.0,https://www.everlane.com/products/unisex-human-crew-sprint-white?collection=mens-tees,2.4444444444444446,5.0,2.0454545454545454
27,The 100% Human Pride Unisex Tank in Small Print,9.0,25.0,False,45.0,https://www.everlane.com/products/mens-human-pride-u-tank-sprint-boneblue?collection=mens-tees,2.7777777777777777,5.0,1.8
28,The Cotton Pocket ,8.63,13.0,True,45.0,https://www.everlane.com/products/mens-cotton-pocket-mustard?collection=mens-tees,1.5063731170336037,5.214368482039397,3.4615384615384617
29,The Heavyweight Long-Sleeve Crew,12.0,23.0,True,60.0,https://www.everlane.com/products/mens-hvyweight-ls-crew-stone?collection=mens-tees,1.9166666666666667,5.0,2.608695652173913
30,The Pique Pocket Tee,12.0,19.0,True,60.0,https://www.everlane.com/products/mens-pique-pocket-tee-faded-rose-white?collection=mens-tees,1.5833333333333333,5.0,3.1578947368421053
